image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3,0,298,227,366,227,366,403,298,403,
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,0,89,59,464,56,474,556,99,559,
2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41,0,500,488,565,489,565,605,500,604,
4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913,0,310,100,388,100,387,204,309,204,
IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813,0,225,49,374,49,374,239,225,239,
0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961,0,226,297,434,297,434,393,226,393,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,0,332,128,477,128,477,300,332,300,
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,0,89,306,244,306,244,449,89,449,
4406534026_jpg.rf.04805dda378057735759b285b7e40a86,0,344,100,583,95,582,497,343,502,
4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258,0,253,242,458,242,458,366,253,366,
4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617,0,236,468,418,468,418,640,236,640,
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,0,-3,18,602,9,670,506,65,516,
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,1,36,487,180,388,434,559,290,658,
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,0,83,0,163,0,163,91,83,91,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,0,458,221,613,221,613,415,458,415,
2332977452_jpg.rf.03e5da8c95ee67ee6ebf31164b67a1f7,0,153,293,364,293,364,463,153,463,
v2VCard-BasicWikipedia_png_jpg.rf.0518f90d0bcfe70a5d2806c3ab045d22,0,28,27,612,28,612,613,28,612,
curvedimage002_png_jpg.rf.051391ee5b5ad9611c8cc6ce47dd70a5,0,0,9,614,9,614,639,0,639,
pathologicalimage018_png_jpg.rf.0b75037765a4ac2e496b0c47480f83d2,0,61,58,570,58,584,570,75,570,
5333302839_jpg.rf.05cd0205056b1174b1207e793ddc07b7,0,0,55,622,2,617,361,-5,414,
IMG_20220601_163158_jpg.rf.0662aaf63947b59e060cd8fc86e27eff,0,116,0,300,0,300,111,116,111,
3518681490_jpg.rf.07608a49d6c4d47e78902fc342257d57,0,272,252,352,248,357,379,277,383,
3950841244_jpg.rf.07e088834d13d199fe2980656f4ceec8,0,400,316,475,316,475,473,400,473,
nominalimage005_jpg.rf.0ba726665cc30b7c45205f226de3c798,0,293,90,510,178,467,549,250,461,
monitorimage001_jpg.rf.09f0849c68dfc76342631366a712225e,0,80,178,582,187,582,593,80,584,
2595337520_jpg.rf.0a69f7593fdb8c5e36010f5790288061,0,151,252,222,251,222,351,151,352,
5164857092_jpg.rf.0ae8d2f7d8826455fc2188d15f7460ca,0,23,346,318,367,373,598,79,576,
5240560535_jpg.rf.056d99d3609f86f1fd3078ba8d43e8e4,0,273,58,554,131,512,505,231,432,
brightnessimage025_jpg.rf.0a6a830fd54185296a77246bff912a95,0,331,35,652,74,480,334,159,295,
brightnessimage025_jpg.rf.0a6a830fd54185296a77246bff912a95,1,157,277,480,280,493,453,170,450,
brightnessimage025_jpg.rf.0a6a830fd54185296a77246bff912a95,2,457,281,529,280,545,404,473,405,
glareimage019_jpg.rf.0b108cf498358a7ad4c93726d39f28b7,0,47,-9,317,108,242,494,-29,378,
glareimage019_jpg.rf.0b108cf498358a7ad4c93726d39f28b7,1,271,87,557,43,461,455,175,499,
2973699715_jpg.rf.0a21c2b1ec67852ed9ef548954c15cac,0,234,243,412,243,412,426,234,426,
1168_U7CcC7U2C_jpg.rf.0bdc29dd96d55ead3903d6bb421c84df,0,238,317,397,315,395,463,236,465,
5089690982_jpg.rf.05a364b6eecbd093d33b58bb43be4013,0,16,543,203,543,203,640,16,640,
2593483966_jpg.rf.0b492d7bb148a346421981607542d18f,0,143,378,397,365,419,596,165,609,
monitorimage015_jpg.rf.0a2ae6fa215ede603997b733b6a65822,0,93,85,546,91,541,527,88,521,
glareimage025_jpg.rf.0807a9eb3cdba8ce4ab398a868f66cd1,0,230,84,593,14,594,223,231,294,
glareimage025_jpg.rf.0807a9eb3cdba8ce4ab398a868f66cd1,1,91,311,255,248,332,427,168,490,
4905458230_jpg.rf.0c42c405aafa290c119950838834e40f,0,157,344,280,344,280,526,157,526,
blurredimage036_jpg.rf.08ffa1d4468f8aa88e6d35d3330cf372,0,174,111,546,18,553,410,182,503,
rotationsimage026_jpg.rf.0d5e363409ae49b3d5ce65bd23a716bf,0,109,416,356,218,532,353,285,552,
perspectiveimage030_jpg.rf.0d235b6d766c26d0356efb5c6fad0c65,0,266,240,358,240,358,408,266,408,
perspectiveimage024_jpg.rf.0e932a5d8c3ca56221d5819521dd9f7c,0,264,185,358,262,297,337,203,260,
4340205893_jpg.rf.0d93acb5204e9592f55d044cfd14e8f1,0,292,456,453,456,453,599,292,599,
4755868280_jpg.rf.0efd7095747a6f81bfd4cd8b62064483,0,375,343,500,346,500,509,375,506,
4969805147_jpg.rf.0e4d578db9e83aac30b085118f91abc6,0,333,139,525,139,525,312,333,312,
monitorimage011_jpg.rf.0ddf72230e58b149bee31c0013ff20d2,0,68,60,560,53,570,571,78,578,
4933303845_jpg.rf.10881c5699a7e7e53443179e34c7afa4,0,504,356,569,357,567,442,502,441,
noncompliantimage008_jpg.rf.115f2e1d60ba58fe2b10cad276f90f35,0,82,236,407,76,595,437,270,597,
5327274374_jpg.rf.11419a455c178bcec20f7fdd4f5ce4a9,0,10,204,214,204,214,347,10,347,
4547847651_jpg.rf.0fdad6705cd321c5f2e1949f5c1d5338,0,229,369,432,369,432,522,229,522,
high_versionimage020_jpg.rf.0e101816eb6a1e94b1d2e3c23eade90c,0,60,109,487,48,568,528,141,589,
2728694652_jpg.rf.0dc9f12c4dfc1773a87ba64667be4b3e,0,203,0,384,0,384,112,203,112,
high_versionimage026_jpg.rf.10cd0419dd3ffa298b76f39b56fc9d03,0,73,171,434,50,547,444,186,565,
high_versionimage003_jpg.rf.119d500255d22c072f08461a0dc07362,0,85,87,586,9,558,453,57,531,
